epoch,acc,loss,val_acc,val_loss
0,0.4291497975708502,1.356969420037013,0.4936416184971098,1.191924167781896
1,0.529786003470214,1.1484322707869539,0.5606936416184971,1.084150437399142
2,0.5696934644303066,1.0787785890958708,0.5780346820809249,1.0428002765412965
3,0.6122035858877964,0.998845059930968,0.5930635838150289,1.0137908771547968
4,0.6448814343551186,0.9270108803081126,0.6219653179190752,0.9654160197759639
5,0.6683053788316946,0.8568423817514891,0.6208092485549133,0.9676512969022542
6,0.7096587622903412,0.8018974815234068,0.6092485549132948,0.9400511543185724
7,0.7411798727588201,0.7339277840405272,0.6335260115606937,0.9296301557838572
8,0.7559282822440717,0.6802493454646071,0.63121387283237,0.9221606076797308
9,0.7807981492192019,0.6346817083480111,0.6393063583815028,0.9102804536764333
10,0.8042220936957779,0.5755084730714921,0.6393063583815028,0.9035194308771564
11,0.8311162521688837,0.5169721203104756,0.6208092485549133,0.971837460650185
12,0.8536726431463274,0.4672725966309039,0.6358381502890174,0.913942079599193
13,0.8695777906304222,0.4309834666235589,0.6242774566473989,0.9699760412205162
14,0.8866396761133604,0.38595349103333015,0.6427745664739885,0.9276915223612262
15,0.9022556390977443,0.3473287121349156,0.638150289017341,0.9720893096372571
